City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Bandar-E Anzali,IR,37.47,49.46,71.6,88,90,0.96,overcast clouds
143,Lebu,CL,-37.62,-73.65,43.97,73,0,13.31,clear sky
144,Pushchino,RU,54.83,37.63,51.8,81,92,2.91,overcast clouds
145,Laguna,US,38.42,-121.42,91.99,29,90,3.36,overcast clouds
146,La Seyne-Sur-Mer,FR,43.1,5.88,64.99,82,57,3.36,broken clouds
147,Ylojarvi,FI,61.56,23.6,55.4,93,2,2.24,clear sky
148,Aldan,RU,58.6,125.39,60.8,44,78,10.85,broken clouds
149,Jolo,PH,6.05,121.02,85.17,66,100,4.56,overcast clouds
150,Vardo,NO,70.37,31.11,50.0,100,75,2.24,broken clouds
151,La Rioja,ES,42.25,-2.5,60.8,93,72,2.24,broken clouds
152,Prince Rupert,CA,54.32,-130.32,57.2,82,90,3.36,overcast clouds
153,Alice Springs,AU,-23.7,133.88,69.8,18,0,5.82,clear sky
154,Kaeo,NZ,-35.1,173.78,62.01,58,8,8.01,clear sky
155,Makiyivka,UA,48.05,37.93,74.93,44,18,0.87,few clouds
156,Mount Isa,AU,-20.73,139.5,89.6,13,2,5.82,clear sky
157,Rawson,AR,-43.3,-65.1,39.45,77,78,24.72,broken clouds
158,Fortuna,US,40.6,-124.16,60.01,87,17,4.68,few clouds
159,Salalah,OM,17.02,54.09,77.0,100,90,4.7,drizzle
160,Kosonsoy,UZ,41.26,71.55,71.6,56,0,2.24,clear sky
161,Basco,PH,20.45,121.97,85.24,75,100,8.66,overcast clouds
162,Kaitangata,NZ,-46.28,169.85,55.99,69,76,4.0,broken clouds
163,Santa Isabel,BR,-23.32,-46.22,60.8,100,90,6.93,thunderstorm with light rain
164,Srednekolymsk,RU,67.45,153.68,56.52,46,99,3.83,overcast clouds
165,Broken Hill,AU,-31.95,141.43,60.8,38,75,28.86,broken clouds
166,Half Moon Bay,US,37.46,-122.43,73.99,68,1,13.87,clear sky
167,Muisne,EC,0.6,-80.03,72.55,86,100,10.33,overcast clouds
168,Castro,BR,-24.79,-50.01,57.9,96,100,4.54,light rain
169,Olafsvik,IS,64.89,-23.71,49.55,80,78,12.33,broken clouds
170,Torbay,CA,47.67,-52.73,57.99,100,90,23.04,moderate rain
171,Naze,JP,28.37,129.48,93.2,67,20,9.17,few clouds
172,Toyooka,JP,35.53,134.83,93.2,49,75,2.24,broken clouds
173,Sao Filipe,CV,14.9,-24.5,77.31,88,44,7.25,scattered clouds
174,Teguise,ES,29.06,-13.56,71.6,83,0,18.34,clear sky
175,Buala,SB,-8.14,159.59,85.05,69,89,4.83,light rain
176,Sukhumi,GE,43.0,41.02,72.0,63,0,2.73,clear sky
177,Waipawa,NZ,-41.41,175.52,53.6,93,100,3.36,drizzle
178,Puerto Madryn,AR,-42.77,-65.04,37.49,79,16,25.93,few clouds
179,Calvinia,ZA,-31.47,19.78,32.47,95,39,1.21,scattered clouds
180,Kulhudhuffushi,MV,6.62,73.07,82.53,69,98,6.44,overcast clouds
181,Ostrovnoy,RU,68.05,39.51,49.8,69,0,3.38,clear sky
182,Cape Town,ZA,-33.93,18.42,41.0,93,20,2.24,few clouds
183,Ballina,AU,-28.87,153.57,77.0,33,0,17.22,clear sky
184,Greymouth,NZ,-42.47,171.2,50.7,93,100,7.63,moderate rain
185,Nantucket,US,41.28,-70.1,68.0,94,1,9.17,clear sky
186,Talnakh,RU,69.49,88.4,73.4,28,1,11.18,clear sky
187,Severo-Kurilsk,RU,50.68,156.12,51.24,87,100,12.59,light rain
188,Pingliang,CN,35.54,106.69,71.4,54,0,10.54,clear sky
189,Hami,CN,42.8,93.45,92.75,11,100,1.03,overcast clouds
190,Cockburn Town,TC,21.46,-71.14,83.39,79,0,16.78,clear sky
191,Grants,US,35.15,-107.85,71.6,43,40,5.82,scattered clouds
192,Muroto,JP,33.28,134.15,91.4,66,20,11.41,few clouds
193,Dwarka,IN,22.24,68.97,84.06,82,97,17.4,moderate rain
194,Tabou,CI,4.42,-7.35,75.69,87,98,8.48,light rain
195,Urucara,BR,-2.54,-57.76,79.43,55,12,2.91,few clouds
196,Santa Vitoria Do Palmar,BR,-33.52,-53.37,50.14,89,0,8.19,clear sky
197,Goderich,CA,43.75,-81.72,69.01,65,0,1.01,clear sky
198,Aldergrove,CA,49.06,-122.47,68.0,77,5,5.82,clear sky
199,Vanimo,PG,-2.67,141.3,83.66,72,100,5.99,light rain
200,Puerto Escondido,MX,15.85,-97.07,80.31,82,97,7.9,moderate rain
201,Zhezkazgan,KZ,47.8,67.71,66.2,52,0,13.42,clear sky
202,Dikson,RU,73.51,80.55,55.98,69,0,10.49,clear sky
203,Mariestad,SE,58.71,13.82,64.99,93,87,1.12,overcast clouds
204,Butaritari,KI,3.07,172.79,83.97,69,0,10.2,clear sky
205,Avarua,CK,-21.21,-159.78,73.4,73,59,17.22,light rain
206,Hambantota,LK,6.12,81.12,86.0,74,20,14.99,few clouds
