City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
115,Ormara,PK,2020-08-17 04:48:21,25.21,64.64,83.84,82,96,7.0
116,Chota,PE,2020-08-17 04:48:21,-6.55,-78.65,53.02,86,86,1.97
117,Iqaluit,CA,2020-08-17 04:48:21,63.75,-68.51,39.2,93,40,3.36
118,Gorele,TR,2020-08-17 04:48:22,41.03,39.0,69.8,68,75,11.41
119,Kapaa,US,2020-08-17 04:48:22,22.08,-159.32,80.6,69,1,11.41
120,Dikson,RU,2020-08-17 04:48:22,73.51,80.55,47.32,98,100,3.24
121,Saposoa,PE,2020-08-17 04:48:23,-6.93,-76.77,72.25,79,65,1.99
122,Alofi,NU,2020-08-17 04:48:23,-19.06,-169.92,73.4,69,75,16.11
123,Bathsheba,BB,2020-08-17 04:48:23,13.22,-59.52,82.4,83,75,23.04
124,Nieuw Amsterdam,SR,2020-08-17 04:48:23,5.88,-55.08,75.99,93,100,8.75
125,Chuy,UY,2020-08-17 04:47:44,-33.7,-53.46,45.39,77,0,9.44
126,Hobyo,SO,2020-08-17 04:48:24,5.35,48.53,78.53,73,44,20.71
127,Palmer,US,2020-08-17 04:48:24,42.16,-72.33,66.2,77,90,8.05
128,Nikolskoye,RU,2020-08-17 04:48:25,59.7,30.79,62.01,81,0,2.24
129,Morristown,US,2020-08-17 04:48:25,36.21,-83.29,73.0,100,1,0.16
130,Arraial Do Cabo,BR,2020-08-17 04:48:25,-22.97,-42.03,70.93,92,100,10.25
131,Esperance,AU,2020-08-17 04:48:26,-33.87,121.9,57.2,62,75,26.4
132,Barra Dos Coqueiros,BR,2020-08-17 04:47:05,-10.91,-37.04,78.8,65,40,11.41
133,Mount Gambier,AU,2020-08-17 04:48:26,-37.83,140.77,55.4,71,90,16.11
134,Chumikan,RU,2020-08-17 04:48:26,54.72,135.31,56.71,88,96,4.07
135,Battonya,HU,2020-08-17 04:48:27,46.28,21.02,64.4,88,0,8.05
136,Itarema,BR,2020-08-17 04:45:07,-2.92,-39.92,76.46,79,67,14.9
137,Kenora,CA,2020-08-17 04:48:27,49.82,-94.43,60.8,63,40,5.82
138,Safaga,EG,2020-08-17 04:48:27,26.73,33.94,86.0,27,0,9.17
139,Sakakah,SA,2020-08-17 04:48:28,29.97,40.21,78.8,29,0,5.82
140,Effingham,US,2020-08-17 04:48:28,32.37,-81.33,80.6,83,1,3.36
141,Laguna,US,2020-08-17 04:48:28,38.42,-121.42,93.99,38,1,5.82
